,time,text,user_followers,user_verified,likes,retweets
67,"12/29/2022, 14:16:51","Amazing Interactive Menu at a restaurant 

via @alvinfoo &amp; @AlbertoEMachado  

#CES2023 #CES #VR #AR #IoT #hologram… https://t.co/RTmpyuHwP5",256568,1,53,28
68,"12/29/2022, 07:58:51","Versatile and widely available, rice is easy to digest, gut-friendly, and a powerhouse of energy. Only with timely… https://t.co/IQsyjeMyK5",77874,1,510,285
69,"12/29/2022, 12:24:02","Quiz of the Day!

Whoever answered correctly first would get a shout-out at the end of the week.

#quiz #youth… https://t.co/9nvkmWQVb9",74678,1,118,86
70,"12/31/2022, 20:50:53","Recipe ➡️ https://t.co/lBZRxLUzWI
Our old-fashioned banana pudding is the perfect dessert anytime and will quickly… https://t.co/wtKo7a0nRV",32429,0,373,87
71,"01/02/2023, 12:15:56","Recipe ➡️ https://t.co/Xko27H7w0Y
Good morning, #Twitter! This bread is easy, delicious and full of pineapple and… https://t.co/Vw4Tv8iQCL",32429,0,947,162
72,"01/01/2023, 22:52:43","Recipe ➡️ https://t.co/OCyG0RNfgH
Cheesesteak pasta skillet is easy, delicious and the perfect comfort food for a b… https://t.co/FtR77OmAnM",32429,0,749,104
73,"01/01/2023, 08:52:07",#Malpua is a part of the legacy of the oldest mithais in India. It even finds a mention in Rigveda as ‘Apupa'.(1/2)… https://t.co/dlC4tTgytw,132804,1,138,115
74,"01/01/2023, 12:19:25","#Nature is so smart, it put #medicine inside of the #food: https://t.co/pdUnrICC2X True #healthcare reform starts i… https://t.co/r4vGmXOBef",319444,0,228,68
75,"01/01/2023, 12:19:29",Take care of your body and it will take care of you; how to boost your #immunesystem and improve your overall… https://t.co/lrAwDyGYI1,319444,0,148,58
76,"12/29/2022, 13:43:26",Everyone’s attention is focussed (and quite rightly so) on the cost and availability of food at the moment - timely… https://t.co/kR0vpEUEwh,32272,0,186,48
77,"12/29/2022, 14:52:13",#Diet is like a bank account. Good #food choices are good investments: https://t.co/sfarWA81NM #HealthyLiving… https://t.co/lTkWIknX06,319444,0,171,48
78,"01/02/2023, 16:08:04","Went to “7 Sisters Northeast Cafe &amp; Restaurant” in Banjara Hills.

It has authentic food from northeastern states… https://t.co/1qXdXTVBKi",261791,0,204,25
79,"12/29/2022, 17:00:00",Striving to enjoy 5-7 servings of fruit and vegetables a day is a great goal for now and in the new year. Every bit… https://t.co/0lIvzuDurI,129534,0,50,23
80,"12/29/2022, 21:25:56","Piping hot Korean fried rice w/ spicy chicken from @BonchonChicken 🤤

That's spicy mayo + wasabi ranch for my fello… https://t.co/SAbc81cHGl",139365,0,106,38
81,"12/29/2022, 21:25:56","Piping hot Korean fried rice w/ spicy chicken from @BonchonChicken 🤤

That's spicy mayo + wasabi ranch for my fello… https://t.co/SAbc81cHGl",139365,0,106,38
82,"12/29/2022, 21:25:56","Piping hot Korean fried rice w/ spicy chicken from @BonchonChicken 🤤

That's spicy mayo + wasabi ranch for my fello… https://t.co/SAbc81cHGl",139365,0,106,38
83,"12/30/2022, 04:08:30","From bees to earthworms to coral reefs and rainforests, #biodiversity helps keep our agrifood systems healthy, prod… https://t.co/xPTojfMezD",579676,1,329,123
84,"12/30/2022, 18:32:03",America’s farmers and ranchers care about clean water and preserving the land—which are essential to producing heal… https://t.co/xL068iLK3k,85762,1,420,121
85,"12/29/2022, 09:22:30","A healthy soil is the backbone of all healthy food system.🌱🌽

But land degradation negatively impacts food and wate… https://t.co/Cu6xw6cJhH",115143,1,126,61
86,"12/30/2022, 00:09:03",We need to do something about the affordability of healthy food in this country… And getting food from the USA woul… https://t.co/iIezTfULgm,2305479,1,256,30
87,"12/28/2022, 15:50:02","After struggling with food inaccessibility for years, this tribe stepped up to feed 11,000 community members with h… https://t.co/To368Ydgea",338833,1,55,19
88,"12/31/2022, 00:00:32","We recognize that healthy soil is vital for:

🍄 climate regulation
🌱 provision of food, fibre &amp; fuel
🕷… https://t.co/ONTu9Gs1jj",155413,1,63,20
89,"12/29/2022, 15:01:13","Pollinators like butterflies 🦋 and bees 🐝 are critical to our food supply and healthy ecosystems. Yet, their popula… https://t.co/ATr7lW5hWF",99407,1,46,24
90,"12/28/2022, 16:05:09",Global #hunger reflects inequalities across the🌎with 31.9% of women food insecure compared to 27.6% of men🚨⚖️… https://t.co/LsEoe5GOnr,8817,0,79,27
91,"12/29/2022, 21:02:31","Throughout 99.9% of human history, the environment forced you to be physical enough to be in robust health by defau… https://t.co/JjhtSwiOHz",50851,0,247,32
