"","X","time","text","user_followers","user_verified","likes","retweets"
"88","124","12/29/2022, 22:35:34","The Romanian pizza chain appearing in Andrew Tate’s response video to Greta Thunberg was reportedly used as proof f… https://t.co/alg9Vvea4d",321027,1,55902,5190
"89","125","12/28/2022, 16:00:07","Friendly reminder for 2023:​

Pineapple belongs on pizza.​
Pineapple belongs on pizza.​
Pineapple belongs on pizza.… https://t.co/jGA2X671qh",1508120,1,10938,2463
"90","126","12/30/2022, 21:32:43","Someone send pizza to Mar-a-Lago and let’s see what happens.… https://t.co/QGuUwDgXgd",322153,0,23371,1847
"91","130","01/01/2023, 23:59:58","@KevoLife Look yo!! It's a personal deep dish pizza yo!! The bane of my existence yo! https://t.co/7SrvFPH0aH",243,0,1,0
"92","131","01/01/2023, 23:59:56","@PastoorRiley that’s 260 calories burned…. that probably pizza is probably closer to a 1000",63,0,1,0
"93","132","01/01/2023, 23:59:54","a good inch between her head and that pizza cutter 😂 https://t.co/OLQU6yAzJd",619,0,1,0
"94","134","01/01/2023, 23:59:47","I wouldn't charge extra for onions on a pizza.. 🤔",518,0,4,0
"95","135","01/01/2023, 23:59:38","@DoniTheDon_ Well done steak? Maybe if I was part of the Donner party. Pineapple on pizza? I will disown you and curse your children!",121,0,0,0
"96","136","01/01/2023, 23:59:27","@hugo_kemnitz @jordanbpeterson Wrong buddy wrong, they all vacation at the island together, you know with Bill Gate… https://t.co/Hs3p02F5IK",6,0,0,0
"97","137","01/01/2023, 23:59:27","@ErinInTheMorn Pizza box hoax?",5,0,0,0
"98","138","01/01/2023, 23:59:19","@a_simple_tailor @trekkiebill They need to put Tate's surname but everyone knows who Greta is.

Too many Andrews with pizza obsessions",1258,0,3,0
"99","140","01/01/2023, 23:59:09","The pizza I bought came with spicy honey 🤔 https://t.co/yZGZbYuvvw",241,0,1,0
"100","141","01/01/2023, 23:59:00","Wonder if he'll get visits from Gaga and Pammy to help him with his Jerry's Pizza during solitary lockdown?… https://t.co/J1YfSIYgzw",246,0,3,0
"101","144","01/01/2023, 14:30:30","Pasta knows how to do it up. 🏒⛸️⚾️

#WinterClassic | @pastrnak96 https://t.co/nwMlFXBwpA",1608446,1,2154,295
"102","145","01/01/2023, 23:59:54","Omggg that pasta with those colorful noodles hit bad 🤤",739,0,0,0
"103","146","01/01/2023, 23:58:45","this is so embarrassing. i want to love &amp; be loved &amp; drink really nice tea &amp; eat really nice pasta &amp; not feel like… https://t.co/dN9ZjrQpG6",45,0,0,0
