"","X","time","text","user_followers","user_verified","likes","retweets"
"53","6570","01/02/2023, 19:30:11","The Top Reasons Why New eCommerce Fails: Here’s How to Pivot - Coruzant Technologies https://t.co/g2Q6QUJjQ7… https://t.co/bdfK9A0J92",1073,0,0,0
"54","14673","01/04/2023, 23:28:49","Lauren Furuta is a registered dietitian at Children's Hospital Colorado. Check out below her outline of how a veget… https://t.co/Yt8FWNL3Is",1849,0,0,0
"55","12873","01/03/2023, 11:45:21","#Research finds over 70% of #British people feel guilty about #eating animal-people.
Two thousand non-#vegans were… https://t.co/1XkYvK1Fy0",940,0,2,1
"56","2497","12/31/2022, 15:24:22","Looking for a #tasty way to make corn muffins? This recipe collection is a good find. #homecooking… https://t.co/LSkaS3Vxh8",51,0,1,0
"57","11705","01/03/2023, 23:55:03","It's delicious. 
Milk base? https://t.co/0WKORg36Ql",295,0,0,0
"58","5561","01/01/2023, 09:09:43","Welcome to a fresh new year for limitless possibilities 🎊🥰HAPPY NEW YEAR 🥳 

#stonefreerice #stonefree… https://t.co/XTZ1lRkFws",310,0,5,0
"59","1917","12/31/2022, 20:00:30","Food for the soul ❤️ #food #foodporn #foodie #foodstagram #foodgasm https://t.co/FkeilGdCHY",65,0,1,0
"60","2818","12/31/2022, 18:24:28","Hop on over to our page for all your last minute party recipes! 🍾🥂https://t.co/ENdWL3Rc8T
#recipes #appetizers… https://t.co/LQN59CDGE7",671,0,1,0
"61","9755","01/04/2023, 23:24:03","View the Complete Nutrient Profile of a Cranberry juice  
 https://t.co/X8TikDVQ7b 

 #food #Cranberry #juice… https://t.co/LjHCfc7Tr5",64,0,0,0
"62","4973","01/02/2023, 16:00:47","🌟 #BREWDOGVEGANALLSTARS 🌟

We have some epic vegan specials this month, we LOVE them 🔥

They're being served all Ja… https://t.co/XqC43Dc9d0",90,0,0,0
"63","14219","01/03/2023, 23:25:02","Tired of all the pizza shops around me only serving Detroit deep dish so I had to make my own Chicago, this will be… https://t.co/UGZ3uUMgxY",27,0,0,0
"64","8316","01/01/2023, 18:03:00","HAPPY NEW YEAR EVERYBODY !

#memes #food #pizza #jokes #fun #NFTCommunity #nftCollector #startrek https://t.co/qlZDEbF1VO",87,0,3,0
"65","14861","01/04/2023, 20:31:15","'Sweet, heartbreaking yet sometimes hilarious story of life and love.' 
Shona M ⭐️⭐️⭐️⭐️⭐️

Sweet, hilarious romanc… https://t.co/riMUihe7ae",1756,0,0,1
"66","3529","01/02/2023, 18:43:17","Do you have a New years resolution to cook more homemade dinners? Chicken Caesar Salad Wraps are easy to make, kid-… https://t.co/4iBZ0HtgND",608,0,0,0
"67","10496","01/03/2023, 17:30:08","It's the first #TacoTuesday of the year! Make it count with our yummy Fish Tacos. 😋🌮

*Available at select location… https://t.co/OZVfZ91jeW",370,0,1,1
"68","11597","01/04/2023, 20:34:58","For #delicious, easy spaghetti, add cooked &amp; drained pasta to heated olive oil in a large skillet; toss to coat.  S… https://t.co/cAK3NODFMW",14759,0,49,23
"69","4471","12/31/2022, 23:56:06","@DrMicroChem @TheTweetOfRhea I make a delicious strawberry ice cream..It will keep us cool.",3162,0,1,0
"70","11958","01/04/2023, 19:23:25","2/2: most of them while you can!🌟Available to buy from our Farm Shop and Click &amp; Collect Service.🌟
#delicious… https://t.co/M7AXG74Dio",1286,0,1,0
"71","9667","01/03/2023, 23:23:48","Made some juicy chicken for dinner tonight! Got the whole thing pre-cut, and I marinated it in a lemon sauce!… https://t.co/XXhmi2pFR3",285,0,0,0
"72","13247","01/03/2023, 23:58:54","Have you ever read the JayZ dinner date tweets? https://t.co/sdSQJHSgdq",13902,1,51,16
"73","1541","01/02/2023, 23:59:42","eating ethiopian food tonight :))",1614,0,1,0
"74","13755","01/04/2023, 23:56:11","The last thing we want
to do is upset bees!

You're too late! It's ours now!

You, sir, have crossed
the wrong swor… https://t.co/AQqjOcfEXx",784,0,2,0
"75","4315","01/02/2023, 22:30:12","😍Crispy Patatas Bravas - Spanish Fried Potatoes😍
Takes fried potatoes to the next level, thanks to spicy red bravas… https://t.co/VgMcXrw8zX",7617,0,6,4
"76","1201","01/02/2023, 23:08:54","ISOLATION IS REAL 
regardless of this unique clip
Take some time and check on your your family and friends as a par… https://t.co/OwTWWRwHQ0",145,0,0,0
"77","8234","01/01/2023, 23:23:29","My Place in the Heart of the Perth CBD 

https://t.co/pVDyjnY32l

#travel #lookatourworld #travelbloging… https://t.co/Z5t9lWzW8y",19963,0,0,0
